,speed_gm,times
590,45.11,1621497155.831
591,45.12,1621497155.851
592,45.13,1621497155.871
593,45.13,1621497155.891
594,45.13,1621497155.911
595,44.95,1621497155.9180002
596,45.14,1621497155.931
597,45.14,1621497155.951
598,45.14,1621497155.971
599,45.13,1621497155.9910002
600,45.18,1621497156.111
601,45.14,1621497156.1169999
602,45.16,1621497156.131
603,45.19,1621497156.151
604,45.2,1621497156.171
605,45.22,1621497156.191
606,45.23,1621497156.211
607,45.22,1621497156.231
608,45.23,1621497156.2510002
609,45.18,1621497156.2710001
610,45.25,1621497156.2910001
611,45.24,1621497156.311
612,45.15,1621497156.315
613,45.18,1621497156.331
614,45.23,1621497156.351
615,45.2,1621497156.371
616,45.22,1621497156.391
617,45.19,1621497156.411
618,45.15,1621497156.431
619,45.14,1621497156.452
620,45.15,1621497156.471
621,45.16,1621497156.4910002
622,45.1,1621497156.512
623,45.14,1621497156.517
624,45.11,1621497156.5310001
625,45.08,1621497156.551
626,45.07,1621497156.571
627,45.1,1621497156.591
628,45.11,1621497156.611
629,45.11,1621497156.631
630,45.13,1621497156.651
631,45.16,1621497156.671
632,45.17,1621497156.692
633,45.18,1621497156.712
634,45.14,1621497156.7150002
635,45.2,1621497156.731
636,45.2,1621497156.7510002
637,45.23,1621497156.7710001
638,45.21,1621497156.792
639,45.19,1621497156.812
640,45.18,1621497156.831
641,45.15,1621497156.851
642,45.13,1621497156.871
643,45.08,1621497156.892
644,45.06,1621497156.912
645,45.15,1621497156.915
646,45.06,1621497156.931
647,45.04,1621497156.951
648,44.99,1621497156.971
649,44.94,1621497156.992
650,44.76,1621497157.111
651,44.88,1621497157.113
652,44.75,1621497157.131
653,44.7,1621497157.151
654,44.68,1621497157.171
655,44.66,1621497157.191
656,44.63,1621497157.211
657,44.66,1621497157.231
658,44.63,1621497157.2510002
659,44.62,1621497157.2710001
660,44.63,1621497157.293
661,44.59,1621497157.311
662,44.87,1621497157.314
663,44.58,1621497157.331
664,44.57,1621497157.351
665,44.56,1621497157.371
666,44.59,1621497157.391
667,44.5,1621497157.412
668,44.46,1621497157.431
669,44.43,1621497157.451
670,44.37,1621497157.471
671,44.34,1621497157.492
672,44.28,1621497157.5110002
673,44.84,1621497157.515
674,44.23,1621497157.5310001
675,44.22,1621497157.551
676,44.15,1621497157.571
677,44.1,1621497157.591
678,44.07,1621497157.611
679,44.0,1621497157.631
680,43.96,1621497157.651
681,43.92,1621497157.671
682,43.9,1621497157.691
683,43.87,1621497157.711
684,44.8,1621497157.7129998
685,43.82,1621497157.731
686,43.78,1621497157.7510002
687,43.73,1621497157.7710001
688,43.66,1621497157.7910001
689,43.59,1621497157.811
690,43.52,1621497157.831
691,43.46,1621497157.851
692,43.4,1621497157.871
693,43.34,1621497157.891
694,43.31,1621497157.911
695,44.8,1621497157.9190001
696,43.24,1621497157.931
697,43.17,1621497157.951
698,43.12,1621497157.971
699,43.07,1621497157.9910002
700,42.73,1621497158.111
701,43.04,1621497158.111
702,42.62,1621497158.131
703,42.56,1621497158.151
704,42.5,1621497158.171
705,42.42,1621497158.191
706,42.32,1621497158.211
707,42.24,1621497158.231
708,42.15,1621497158.2510002
709,42.08,1621497158.2710001
710,41.99,1621497158.2910001
711,41.94,1621497158.311
712,42.98,1621497158.312
713,41.9,1621497158.331
714,41.82,1621497158.353
715,41.74,1621497158.371
716,41.7,1621497158.391
717,41.61,1621497158.411
718,41.54,1621497158.431
719,41.46,1621497158.451
720,41.38,1621497158.471
721,41.3,1621497158.4910002
722,41.21,1621497158.5110002
723,42.92,1621497158.512
724,41.09,1621497158.5310001
725,41.02,1621497158.551
726,40.94,1621497158.571
727,40.87,1621497158.591
728,40.79,1621497158.611
729,40.7,1621497158.631
730,40.64,1621497158.651
731,40.57,1621497158.671
732,40.51,1621497158.691
733,40.43,1621497158.711
734,42.87,1621497158.712
735,40.36,1621497158.731
736,40.29,1621497158.7510002
737,40.23,1621497158.7710001
738,40.13,1621497158.7910001
739,40.08,1621497158.811
740,39.99,1621497158.831
741,39.9,1621497158.851
742,39.8,1621497158.871
743,39.69,1621497158.891
744,39.6,1621497158.911
745,42.79,1621497158.912
746,39.49,1621497158.931
747,39.4,1621497158.951
748,39.28,1621497158.971
749,39.21,1621497158.9910002
750,39.14,1621497159.1100001
751,38.83,1621497159.111
752,38.74,1621497159.131
753,38.66,1621497159.151
754,38.62,1621497159.171
755,38.57,1621497159.191
756,38.49,1621497159.211
757,38.43,1621497159.231
758,38.42,1621497159.2510002
759,38.34,1621497159.2710001
760,38.24,1621497159.2910001
761,38.21,1621497159.311
762,39.07,1621497159.312
763,38.14,1621497159.331
764,38.07,1621497159.351
765,38.05,1621497159.371
766,38.04,1621497159.391
767,37.95,1621497159.411
768,37.8,1621497159.431
769,37.8,1621497159.451
770,37.79,1621497159.471
771,37.67,1621497159.4910002
772,37.64,1621497159.5110002
773,39.02,1621497159.512
774,37.62,1621497159.5310001
775,37.59,1621497159.551
776,37.55,1621497159.571
777,37.51,1621497159.591
778,37.48,1621497159.611
779,37.4,1621497159.631
780,37.34,1621497159.651
781,37.29,1621497159.671
782,37.28,1621497159.691
783,38.93,1621497159.712
784,37.25,1621497159.7129998
785,37.24,1621497159.731
786,37.23,1621497159.754
787,37.2,1621497159.77
788,37.13,1621497159.7910001
789,37.08,1621497159.81
790,37.05,1621497159.831
791,37.01,1621497159.851
792,37.01,1621497159.871
793,37.01,1621497159.891
794,37.0,1621497159.911
795,38.86,1621497159.912
796,37.0,1621497159.931
797,36.96,1621497159.951
798,36.97,1621497159.971
799,36.96,1621497159.9910002
800,36.93,1621497160.1100001
801,36.94,1621497160.112
802,36.91,1621497160.1299999
803,36.91,1621497160.151
804,36.92,1621497160.1699998
805,36.91,1621497160.191
806,36.91,1621497160.211
807,36.91,1621497160.231
808,36.9,1621497160.2499998
809,36.94,1621497160.2710001
810,36.95,1621497160.29
811,36.95,1621497160.3100002
812,36.93,1621497160.312
813,36.94,1621497160.331
814,36.94,1621497160.3500001
815,36.96,1621497160.371
816,36.97,1621497160.391
817,36.99,1621497160.4099998
818,37.0,1621497160.431
819,37.03,1621497160.451
820,37.05,1621497160.471
821,37.06,1621497160.4899998
822,37.1,1621497160.5110002
823,36.91,1621497160.512
824,37.12,1621497160.5310001
825,37.14,1621497160.5500002
826,37.16,1621497160.571
827,37.17,1621497160.5900002
828,37.22,1621497160.61
829,37.24,1621497160.63
830,37.27,1621497160.6499999
831,37.3,1621497160.671
832,37.31,1621497160.6899998
833,37.34,1621497160.71
834,36.93,1621497160.712
835,37.34,1621497160.7299998
836,37.38,1621497160.7510002
837,37.38,1621497160.7710001
838,37.41,1621497160.7900002
839,37.43,1621497160.81
840,37.46,1621497160.8300002
841,37.51,1621497160.85
842,37.5,1621497160.8700001
843,37.53,1621497160.8899999
844,36.91,1621497160.909
845,37.53,1621497160.91
846,37.55,1621497160.9299998
847,37.55,1621497160.95
848,37.55,1621497160.9699998
849,37.58,1621497160.99
850,37.61,1621497161.1100001
851,37.6,1621497161.1100001
852,37.61,1621497161.1299999
853,37.62,1621497161.15
854,37.65,1621497161.1699998
855,37.66,1621497161.19
856,37.66,1621497161.2099998
857,37.67,1621497161.23
858,37.7,1621497161.2499998
859,37.69,1621497161.2700002
860,37.76,1621497161.29
861,37.6,1621497161.308
862,37.77,1621497161.3100002
863,37.79,1621497161.33
864,37.69,1621497161.3500001
865,37.83,1621497161.37
866,37.84,1621497161.39
867,37.81,1621497161.4099998
868,37.92,1621497161.43
869,37.88,1621497161.4499998
870,37.91,1621497161.47
871,37.93,1621497161.4899998
872,37.59,1621497161.5089998
873,37.86,1621497161.5100002
874,37.94,1621497161.53
875,37.93,1621497161.5500002
876,37.89,1621497161.57
877,37.92,1621497161.5900002
878,37.88,1621497161.61
879,37.86,1621497161.63
880,37.87,1621497161.6499999
881,37.81,1621497161.67
882,37.76,1621497161.6899998
883,37.6,1621497161.708
884,37.76,1621497161.71
885,37.74,1621497161.7299998
886,37.75,1621497161.7500002
887,37.69,1621497161.77
888,37.67,1621497161.7900002
889,37.66,1621497161.811
890,37.64,1621497161.8300002
891,37.65,1621497161.85
892,37.65,1621497161.8700001
893,37.65,1621497161.8899999
894,37.62,1621497161.908
895,37.66,1621497161.91
896,37.67,1621497161.9299998
897,37.65,1621497161.95
898,37.62,1621497161.9699998
899,37.62,1621497161.99
900,37.58,1621497162.107
901,37.48,1621497162.1100001
902,37.42,1621497162.1299999
903,37.41,1621497162.15
904,37.38,1621497162.1699998
905,37.34,1621497162.1929998
906,37.33,1621497162.2099998
907,37.31,1621497162.23
908,37.27,1621497162.2499998
909,37.27,1621497162.2700002
910,37.26,1621497162.29
911,37.55,1621497162.3070002
912,37.24,1621497162.3100002
913,37.21,1621497162.33
914,37.2,1621497162.3500001
915,37.16,1621497162.37
916,37.15,1621497162.39
917,37.15,1621497162.4099998
918,37.12,1621497162.43
919,37.1,1621497162.4499998
920,37.09,1621497162.47
921,37.05,1621497162.4899998
922,37.53,1621497162.507
923,37.03,1621497162.5100002
924,37.0,1621497162.53
925,36.98,1621497162.5500002
926,36.98,1621497162.57
927,36.96,1621497162.593
928,36.94,1621497162.61
929,36.94,1621497162.63
930,36.94,1621497162.6499999
931,36.91,1621497162.67
932,36.89,1621497162.6899998
933,37.5,1621497162.707
934,36.87,1621497162.71
935,36.86,1621497162.7299998
936,36.84,1621497162.7500002
937,36.84,1621497162.77
938,36.86,1621497162.7900002
939,36.87,1621497162.81
940,36.88,1621497162.8300002
941,36.89,1621497162.85
942,36.86,1621497162.8700001
943,36.85,1621497162.8899999
944,37.5,1621497162.907
945,36.86,1621497162.91
946,36.84,1621497162.9299998
947,36.87,1621497162.95
948,36.86,1621497162.9699998
949,36.87,1621497162.99
950,36.88,1621497163.106
951,36.9,1621497163.1100001
952,36.91,1621497163.1299999
953,36.91,1621497163.15
954,36.93,1621497163.1699998
955,36.94,1621497163.19
956,36.95,1621497163.2099998
957,36.94,1621497163.23
958,36.94,1621497163.2499998
959,36.94,1621497163.2700002
960,36.94,1621497163.29
961,36.87,1621497163.3059998
962,36.96,1621497163.3100002
963,36.94,1621497163.33
964,36.95,1621497163.3500001
965,36.96,1621497163.37
966,36.98,1621497163.39
967,36.96,1621497163.4099998
968,36.97,1621497163.43
969,36.98,1621497163.4499998
970,36.99,1621497163.47
971,37.01,1621497163.4899998
972,36.88,1621497163.5059998
973,37.01,1621497163.5100002
974,37.0,1621497163.53
975,37.01,1621497163.5500002
976,37.02,1621497163.57
977,37.03,1621497163.5900002
978,37.01,1621497163.61
979,37.01,1621497163.63
980,37.0,1621497163.6499999
981,36.99,1621497163.67
982,36.98,1621497163.6899998
983,36.89,1621497163.7059999
984,36.96,1621497163.71
985,36.96,1621497163.7299998
986,36.97,1621497163.7500002
987,36.97,1621497163.77
988,36.94,1621497163.7900002
989,36.96,1621497163.81
990,36.96,1621497163.8300002
991,36.96,1621497163.85
992,36.98,1621497163.8700001
993,36.98,1621497163.8899999
994,36.89,1621497163.906
995,37.0,1621497163.91
996,37.01,1621497163.9299998
997,37.02,1621497163.95
998,37.01,1621497163.9699998
999,37.01,1621497163.99
1000,36.98,1621497164.105
1001,36.93,1621497164.1100001
1002,36.9,1621497164.1299999
1003,36.94,1621497164.15
1004,36.95,1621497164.1699998
1005,36.91,1621497164.19
1006,36.94,1621497164.2099998
1007,36.94,1621497164.23
1008,36.95,1621497164.2499998
1009,36.97,1621497164.2700002
1010,36.99,1621497164.29
1011,36.97,1621497164.3049998
1012,37.02,1621497164.3100002
1013,36.99,1621497164.33
1014,37.01,1621497164.3500001
1015,37.02,1621497164.37
1016,37.03,1621497164.39
1017,37.04,1621497164.4099998
1018,37.02,1621497164.43
1019,37.0,1621497164.4499998
1020,36.99,1621497164.47
1021,36.98,1621497164.4899998
1022,36.96,1621497164.5059998
1023,36.98,1621497164.5100002
1024,36.95,1621497164.53
1025,36.93,1621497164.5500002
1026,36.92,1621497164.57
1027,36.9,1621497164.5900002
1028,36.89,1621497164.61
1029,36.87,1621497164.63
1030,36.85,1621497164.6499999
1031,36.84,1621497164.67
1032,36.84,1621497164.6899998
1033,36.94,1621497164.7059999
1034,36.82,1621497164.71
1035,36.8,1621497164.7299998
1036,36.78,1621497164.7500002
1037,36.76,1621497164.77
1038,36.74,1621497164.7900002
1039,36.7,1621497164.81
1040,36.67,1621497164.8300002
